query,track,label,runs,median_s,min_s,max_s,server_ms,read_rows,read_bytes,memory_usage,result_rows
q1_campaign_performance,optimized,idle,5,2.523,2.393,2.96,1741,76683,10767185,647935392,4949
q2_keyword_paid_search,optimized,idle,5,1.234,1.192,1.455,509,291329,34027902,275925825,100
q3_multi_touch_attribution,optimized,idle,5,5.04,4.965,5.051,4070,549291878,13771047653,3245980108,216
q4_conversion_funnel,optimized,idle,5,1.591,1.544,2.107,692,42605,4003519,624165456,207
q5_cohort_retention,optimized,idle,5,41.355,39.045,41.77,40271,679357898,13637286104,4997514790,450
q6_landing_page_seo,optimized,idle,5,1.311,1.266,1.748,245,7073,2451537,129511125,525
q7_email_hourly,optimized,idle,5,1.811,1.801,1.868,906,14540800,290824487,25706290,4224
q8_email_list_health,optimized,idle,5,0.555,0.53,0.565,5,3633,43968,4245296,14
